state,county,reporting,dem,gop,lib,grn,una,oth
AL,Autauga,0%,6091,17398,0,0,0,0
AL,Baldwin,0%,19362,61192,0,0,0,0
AL,Barbour,0%,5685,5862,0,0,0,0
AL,Bibb,0%,2289,6247,0,0,0,0
AL,Blount,0%,3518,20362,0,0,0,0
AL,Bullock,0%,4001,1389,0,0,0,0
AL,Butler,0%,4174,5472,0,0,0,0
AL,Calhoun,0%,16325,32326,0,0,0,0
AL,Chambers,0%,6782,8060,0,0,0,0
AL,Cherokee,0%,2299,7285,0,0,0,0
AL,Chilton,0%,3666,13934,0,0,0,0
AL,Choctaw,0%,3633,4220,0,0,0,0
AL,Clarke,0%,5907,7455,0,0,0,0
AL,Clay,0%,1722,4946,0,0,0,0
AL,Cleburne,0%,1166,5204,0,0,0,0
AL,Coffee,0%,5068,14909,0,0,0,0
AL,Colbert,0%,9698,14729,0,0,0,0
AL,Conecuh,0%,3411,3461,0,0,0,0
AL,Coosa,0%,2269,3245,0,0,0,0
AL,Covington,0%,3238,12431,0,0,0,0
AL,Crenshaw,0%,1938,4316,0,0,0,0
AL,Cullman,0%,5855,28837,0,0,0,0
AL,Dale,0%,5257,13873,0,0,0,0
AL,Dallas,0%,13958,6791,0,0,0,0
AL,DeKalb,0%,5654,17951,0,0,0,0
AL,Elmore,0%,8268,25695,0,0,0,0
AL,Escambia,0%,5176,9365,0,0,0,0
AL,Etowah,0%,13480,30562,0,0,0,0
AL,Fayette,0%,1988,5875,0,0,0,0
AL,Franklin,0%,3469,8048,0,0,0,0
AL,Geneva,0%,2106,9314,0,0,0,0
AL,Greene,0%,4402,876,0,0,0,0
AL,Hale,0%,4969,3196,0,0,0,0
AL,Henry,0%,2990,5558,0,0,0,0
AL,Houston,0%,12194,29205,0,0,0,0
AL,Jackson,0%,6367,14068,0,0,0,0
AL,Jefferson,0%,166015,149843,0,0,0,0
AL,Lamar,0%,1614,5419,0,0,0,0
AL,Lauderdale,0%,13318,24050,0,0,0,0
AL,Lawrence,0%,5159,9269,0,0,0,0
AL,Lee,0%,21410,32344,0,0,0,0
AL,Limestone,0%,9530,23588,0,0,0,0
