year,state,abbrev,name,id,race,candidate,party,vote,total_vote,date
2008,Alabama,AL,Autauga,1001,President,Barack Obama,democrat,6093,23641,20191203
2008,Alabama,AL,Autauga,1001,President,John McCain,republican,17403,23641,20191203
2008,Alabama,AL,Autauga,1001,President,Other,NA,145,23641,20191203
2008,Alabama,AL,Baldwin,1003,President,Barack Obama,democrat,19386,81413,20191203
2008,Alabama,AL,Baldwin,1003,President,John McCain,republican,61271,81413,20191203
2008,Alabama,AL,Baldwin,1003,President,Other,NA,756,81413,20191203
2008,Alabama,AL,Barbour,1005,President,Barack Obama,democrat,5697,11630,20191203
2008,Alabama,AL,Barbour,1005,President,John McCain,republican,5866,11630,20191203
2008,Alabama,AL,Barbour,1005,President,Other,NA,67,11630,20191203
2008,Alabama,AL,Bibb,1007,President,Barack Obama,democrat,2299,8644,20191203
2008,Alabama,AL,Bibb,1007,President,John McCain,republican,6262,8644,20191203
2008,Alabama,AL,Bibb,1007,President,Other,NA,83,8644,20191203
2008,Alabama,AL,Blount,1009,President,Barack Obama,democrat,3522,24267,20191203
2008,Alabama,AL,Blount,1009,President,John McCain,republican,20389,24267,20191203
2008,Alabama,AL,Blount,1009,President,Other,NA,356,24267,20191203
2008,Alabama,AL,Bullock,1011,President,Barack Obama,democrat,4011,5415,20191203
2008,Alabama,AL,Bullock,1011,President,John McCain,republican,1391,5415,20191203
2008,Alabama,AL,Bullock,1011,President,Other,NA,13,5415,20191203
2008,Alabama,AL,Butler,1013,President,Barack Obama,democrat,4188,9709,20191203
2008,Alabama,AL,Butler,1013,President,John McCain,republican,5485,9709,20191203
2008,Alabama,AL,Butler,1013,President,Other,NA,36,9709,20191203
2008,Alabama,AL,Calhoun,1015,President,Barack Obama,democrat,16334,49242,20191203
2008,Alabama,AL,Calhoun,1015,President,John McCain,republican,32348,49242,20191203
2008,Alabama,AL,Calhoun,1015,President,Other,NA,560,49242,20191203
2008,Alabama,AL,Chambers,1017,President,Barack Obama,democrat,6799,14956,20191203
2008,Alabama,AL,Chambers,1017,President,John McCain,republican,8067,14956,20191203
2008,Alabama,AL,Chambers,1017,President,Other,NA,90,14956,20191203
2008,Alabama,AL,Cherokee,1019,President,Barack Obama,democrat,2306,9745,20191203
2008,Alabama,AL,Cherokee,1019,President,John McCain,republican,7298,9745,20191203
2008,Alabama,AL,Cherokee,1019,President,Other,NA,141,9745,20191203
2008,Alabama,AL,Chilton,1021,President,Barack Obama,democrat,3674,17785,20191203
2008,Alabama,AL,Chilton,1021,President,John McCain,republican,13960,17785,20191203
2008,Alabama,AL,Chilton,1021,President,Other,NA,151,17785,20191203
2008,Alabama,AL,Choctaw,1023,President,Barack Obama,democrat,3636,7894,20191203
2008,Alabama,AL,Choctaw,1023,President,John McCain,republican,4223,7894,20191203
2008,Alabama,AL,Choctaw,1023,President,Other,NA,35,7894,20191203
2008,Alabama,AL,Clarke,1025,President,Barack Obama,democrat,5914,13435,20191203
2008,Alabama,AL,Clarke,1025,President,John McCain,republican,7466,13435,20191203
2008,Alabama,AL,Clarke,1025,President,Other,NA,55,13435,20191203
2008,Alabama,AL,Clay,1027,President,Barack Obama,democrat,1760,6819,20191203
2008,Alabama,AL,Clay,1027,President,John McCain,republican,4984,6819,20191203
2008,Alabama,AL,Clay,1027,President,Other,NA,75,6819,20191203
2008,Alabama,AL,Cleburne,1029,President,Barack Obama,democrat,1168,6492,20191203
