"GEO_ID","NAME","POP"
"0500000US01001","Autauga County, Alabama","43671"
"0500000US01003","Baldwin County, Alabama","140415"
"0500000US01005","Barbour County, Alabama","29038"
"0500000US01007","Bibb County, Alabama","20826"
"0500000US01009","Blount County, Alabama","51024"
"0500000US01011","Bullock County, Alabama","11714"
"0500000US01013","Butler County, Alabama","21399"
"0500000US01015","Calhoun County, Alabama","112249"
"0500000US01017","Chambers County, Alabama","36583"
"0500000US01019","Cherokee County, Alabama","23988"
"0500000US01021","Chilton County, Alabama","39593"
"0500000US01023","Choctaw County, Alabama","15922"
"0500000US01025","Clarke County, Alabama","27867"
"0500000US01027","Clay County, Alabama","14254"
"0500000US01029","Cleburne County, Alabama","14123"
"0500000US01031","Coffee County, Alabama","43615"
"0500000US01033","Colbert County, Alabama","54984"
"0500000US01035","Conecuh County, Alabama","14089"
"0500000US01037","Coosa County, Alabama","12202"
"0500000US01039","Covington County, Alabama","37631"
"0500000US01041","Crenshaw County, Alabama","13665"
"0500000US01043","Cullman County, Alabama","77483"
"0500000US01045","Dale County, Alabama","49129"
"0500000US01047","Dallas County, Alabama","46365"
"0500000US01049","DeKalb County, Alabama","64452"
"0500000US01051","Elmore County, Alabama","65874"
"0500000US01053","Escambia County, Alabama","38440"
"0500000US01055","Etowah County, Alabama","103459"
"0500000US01057","Fayette County, Alabama","18495"
"0500000US01059","Franklin County, Alabama","31223"
"0500000US01061","Geneva County, Alabama","25764"
"0500000US01063","Greene County, Alabama","9974"
"0500000US01065","Hale County, Alabama","17185"
"0500000US01067","Henry County, Alabama","16310"
"0500000US01069","Houston County, Alabama","88787"
"0500000US01071","Jackson County, Alabama","53926"
"0500000US01073","Jefferson County, Alabama","662047"
"0500000US01075","Lamar County, Alabama","15904"
"0500000US01077","Lauderdale County, Alabama","87966"
"0500000US01079","Lawrence County, Alabama","34803"
"0500000US01081","Lee County, Alabama","115092"
"0500000US01083","Limestone County, Alabama","65676"
"0500000US01085","Lowndes County, Alabama","13473"
"0500000US01087","Macon County, Alabama","24105"
"0500000US01089","Madison County, Alabama","276700"
"0500000US01091","Marengo County, Alabama","22539"
"0500000US01093","Marion County, Alabama","31214"
"0500000US01095","Marshall County, Alabama","82231"
"0500000US01097","Mobile County, Alabama","399843"
"0500000US01099","Monroe County, Alabama","24324"
"0500000US01101","Montgomery County, Alabama","223510"
"0500000US01103","Morgan County, Alabama","111064"
"0500000US01105","Perry County, Alabama","11861"
"0500000US01107","Pickens County, Alabama","20949"
"0500000US01109","Pike County, Alabama","29605"
"0500000US01111","Randolph County, Alabama","22380"
"0500000US01113","Russell County, Alabama","49756"
