state,county,reporting,dem,gop,lib,grn,una,oth
AL,Autauga,100%,5908,18110,538,105,0,0
AL,Baldwin,100%,18409,72780,2448,453,0,0
AL,Barbour,100%,4848,5431,93,18,0,0
AL,Bibb,100%,1874,6733,124,17,0,0
AL,Blount,100%,2150,22808,337,89,0,0
AL,Bullock,100%,3530,1139,22,10,0,0
AL,Butler,100%,3716,4891,65,13,0,0
AL,Calhoun,100%,13197,32803,1114,262,0,0
AL,Chambers,100%,5763,7803,168,44,0,0
AL,Cherokee,100%,1524,8809,145,25,0,0
AL,Chilton,100%,2909,15068,226,52,0,0
AL,Choctaw,100%,3109,4102,51,6,0,0
AL,Clarke,100%,5712,7109,98,17,0,0
AL,Clay,100%,1234,5230,92,16,0,0
AL,Cleburne,100%,684,5738,90,20,0,0
AL,Coffee,100%,4194,15825,392,102,0,0
AL,Colbert,100%,7296,16718,506,106,0,0
AL,Conecuh,100%,3069,3413,51,10,0,0
AL,Coosa,100%,1780,3376,53,14,0,0
AL,Covington,100%,2379,13222,181,36,0,0
AL,Crenshaw,100%,1663,4511,64,14,0,0
AL,Cullman,100%,3730,32734,682,132,0,0
AL,Dale,100%,4408,13798,349,62,0,0
AL,Dallas,100%,12826,5784,96,24,0,0
AL,DeKalb,100%,3682,21779,469,156,0,0
AL,Elmore,100%,8436,27619,738,112,0,0
AL,Escambia,100%,4698,10282,195,38,0,0
AL,Etowah,100%,10350,32132,829,163,0,0
AL,Fayette,100%,1358,6705,109,24,0,0
AL,Franklin,100%,2197,9466,238,54,0,0
AL,Geneva,100%,1522,9967,147,23,0,0
AL,Greene,100%,4006,838,13,5,0,0
AL,Hale,100%,4772,3172,54,12,0,0
AL,Henry,100%,2286,5623,91,17,0,0
AL,Houston,100%,10547,30567,772,144,0,0
AL,Jackson,100%,3663,16643,389,90,0,0
AL,Jefferson,100%,151581,130614,6407,1509,0,0
AL,Lamar,100%,1035,5819,62,15,0,0
AL,Lauderdale,100%,9877,27735,981,220,0,0
AL,Lawrence,100%,3611,10732,249,31,0,0
AL,Lee,100%,20987,34321,1998,362,0,0
AL,Limestone,100%,9340,28824,1036,200,0,0
AL,Lowndes,100%,4882,1751,32,11,0,0
AL,Macon,100%,7237,1394,69,48,0,0
AL,Madison,100%,62435,89199,6591,1248,0,0
AL,Marengo,100%,5607,5224,104,13,0,0
AL,Marion,100%,1432,11273,181,26,0,0
AL,Marshall,100%,4913,29217,677,158,0,0
AL,Mobile,100%,68429,91087,3113,758,0,0
AL,Monroe,100%,4310,5771,88,16,0,0
AL,Montgomery,100%,58669,33928,1486,489,0,0
AL,Morgan,100%,11216,37392,1165,218,0,0
AL,Perry,100%,3823,1403,23,6,0,0
AL,Pickens,100%,3972,5454,49,19,0,0
AL,Pike,100%,5039,7681,257,48,0,0
AL,Randolph,100%,2290,7697,124,19,0,0
AL,Russell,100%,9577,9210,281,68,0,0
AL,Shelby,100%,22927,72846,2956,479,0,0
AL,St. Clair,100%,5550,31579,678,130,0,0
AL,Sumter,100%,4739,1581,57,14,0,0
AL,Talladega,100%,12108,20596,409,105,0,0
AL,Tallapoosa,100%,5271,12967,217,49,0,0
AL,Tuscaloosa,100%,31746,47701,1871,390,0,0
AL,Walker,100%,4486,24208,454,95,0,0
AL,Washington,100%,2366,6031,73,22,0,0
AL,Wilcox,100%,4329,1737,22,7,0,0
AL,Winston,100%,871,9225,130,29,0,0
AK,Alaska,99.5%,93007,130415,14593,4445,0,4128
AZ,Apache,100%,12196,5315,822,326,0,0
AZ,Cochise,100%,15291,25036,2022,798,0,0
AZ,Coconino,100%,25308,16573,2117,931,0,0
AZ,Gila,100%,6746,13672,776,204,0,0
AZ,Graham,100%,3301,8025,497,116,0,0
AZ,Greenlee,100%,1092,1892,200,59,0,0
AZ,La Paz,100%,1318,3381,177,55,0,0
AZ,Maricopa,100%,549040,590465,48732,13697,0,0
AZ,Mohave,100%,16485,54656,2386,662,0,0
AZ,Navajo,100%,15362,18165,1248,634,0,0
AZ,Pima,100%,195649,147019,13065,5029,0,0
AZ,Pinal,100%,35737,53857,3246,965,0,0
AZ,Santa Cruz,100%,10684,3650,395,197,0,0
AZ,Yavapai,100%,29705,58862,3069,1144,0,0
AZ,Yuma,100%,18336,20586,1399,438,0,0
AR,Arkansas,100%,1939,3825,126,64,0,213
AR,Ashley,100%,2408,5338,156,34,0,91
AR,Baxter,100%,4163,14655,451,138,0,165
AR,Benton,100%,27894,60751,3856,946,0,815
AR,Boone,100%,2925,12225,379,134,0,249
AR,Bradley,100%,1317,2163,73,16,0,48
AR,Calhoun,100%,636,1554,44,3,0,13
AR,Carroll,100%,3334,6773,237,210,0,102
AR,Chicot,100%,2350,1716,35,15,0,33
AR,Clark,100%,3606,4398,196,68,0,97
AR,Clay,100%,1999,3779,100,35,0,65
AR,Cleburne,100%,2101,9454,229,63,0,121
AR,Cleveland,100%,723,2460,59,8,0,49
AR,Columbia,100%,3140,5456,117,40,0,84
AR,Conway,100%,2655,4844,171,43,0,124
AR,Craighead,100%,10474,22798,1026,303,0,367
AR,Crawford,100%,4476,16655,578,173,0,273
AR,Crittenden,100%,8368,6953,242,95,0,140
AR,Cross,100%,1995,4577,105,24,0,130
AR,Dallas,100%,1165,1507,26,12,0,31
AR,Desha,100%,2227,1915,44,4,0,36
AR,Drew,100%,2364,3967,108,43,0,70
AR,Faulkner,100%,14525,29170,1639,507,0,523
AR,Franklin,100%,1376,5034,177,34,0,77
AR,Fulton,100%,1067,3470,107,41,0,59
AR,Garland,100%,12283,26053,984,387,0,630
