state,county,reporting,dem,gop,lib,grn,una,oth
AL,Autauga,0%,4774,15212,0,0,0,74
AL,Baldwin,0%,15579,52910,0,0,0,371
AL,Barbour,0%,4826,5893,0,0,0,26
AL,Bibb,0%,2089,5471,0,0,0,12
AL,Blount,0%,3932,17364,0,0,0,92
AL,Bullock,0%,3210,1494,0,0,0,3
AL,Butler,0%,3409,4978,0,0,0,13
AL,Calhoun,0%,15076,29806,0,0,0,182
AL,Chambers,0%,5346,7618,0,0,0,42
AL,Cherokee,0%,3036,5919,0,0,0,43
AL,Chilton,0%,3773,12824,0,0,0,46
AL,Choctaw,0%,3289,3889,0,0,0,15
AL,Clarke,0%,4627,6729,0,0,0,19
AL,Clay,0%,1893,4622,0,0,0,38
AL,Cleburne,0%,1387,4362,0,0,0,24
AL,Coffee,0%,4477,13010,0,0,0,73
AL,Colbert,0%,10586,13179,0,0,0,88
AL,Conecuh,0%,2715,3266,0,0,0,17
AL,Coosa,0%,2055,2902,0,0,0,8
AL,Covington,0%,3422,11108,0,0,0,37
AL,Crenshaw,0%,1698,3774,0,0,0,17
AL,Cullman,0%,8022,26783,0,0,0,155
AL,Dale,0%,4479,13614,0,0,0,75
AL,Dallas,0%,11145,7318,0,0,0,28
AL,DeKalb,0%,7092,16901,0,0,0,99
AL,Elmore,0%,6455,22024,0,0,0,68
AL,Escambia,0%,3812,8501,0,0,0,28
AL,Etowah,0%,15311,26972,0,0,0,195
AL,Fayette,0%,2408,5532,0,0,0,29
AL,Franklin,0%,4513,7688,0,0,0,48
AL,Geneva,0%,2105,8324,0,0,0,27
AL,Greene,0%,3763,958,0,0,0,12
AL,Hale,0%,4622,3278,0,0,0,15
AL,Henry,0%,2432,4859,0,0,0,15
AL,Houston,0%,9141,26868,0,0,0,91
AL,Jackson,0%,8618,11507,0,0,0,92
AL,Jefferson,0%,132145,158504,0,0,0,999
AL,Lamar,0%,1956,4894,0,0,0,5
AL,Lauderdale,0%,14615,22123,0,0,0,155
AL,Lawrence,0%,6153,7728,0,0,0,44
AL,Lee,0%,16177,27911,0,0,0,203
AL,Limestone,0%,8859,18994,0,0,0,117
AL,Lowndes,0%,4233,1786,0,0,0,0
AL,Macon,0%,7495,1540,0,0,0,16
AL,Madison,0%,52614,77150,0,0,0,548
AL,Marengo,0%,5026,5242,0,0,0,16
AL,Marion,0%,3806,8983,0,0,0,61
AL,Marshall,0%,8441,22745,0,0,0,154
AL,Mobile,0%,63614,91877,0,0,0,697
AL,Monroe,0%,3666,5831,0,0,0,23
AL,Montgomery,0%,45127,44074,0,0,0,198
AL,Morgan,0%,14113,32435,0,0,0,187
AL,Perry,0%,3754,1733,0,0,0,7
AL,Pickens,0%,3915,5170,0,0,0,24
AL,Pike,0%,4323,7473,0,0,0,44
AL,Randolph,0%,2817,6127,0,0,0,35
AL,Russell,0%,8372,8332,0,0,0,51
AL,Shelby,0%,14826,63326,0,0,0,283
AL,St. Clair,0%,5449,23468,0,0,0,95
AL,Sumter,0%,4527,1880,0,0,0,10
AL,Talladega,0%,11373,18326,0,0,0,89
AL,Tallapoosa,0%,5449,12378,0,0,0,53
AL,Tuscaloosa,0%,26420,42827,0,0,0,263
AL,Walker,0%,9012,19162,0,0,0,108
AL,Washington,0%,3127,5042,0,0,0,28
AL,Wilcox,0%,3238,1778,0,0,0,19
AL,Winston,0%,2234,8052,0,0,0,29
AK,Alaska,0%,86064,151876,0,0,0,3890
AZ,Apache,0%,15082,8068,0,0,0,0
AZ,Cochise,0%,16219,24828,0,0,0,0
AZ,Coconino,0%,26513,20619,0,0,0,0
AZ,Gila,0%,7107,10494,0,0,0,0
AZ,Graham,0%,3141,7302,0,0,0,0
AZ,Greenlee,0%,1146,1899,0,0,0,0
AZ,La Paz,0%,1849,3158,0,0,0,0
AZ,Maricopa,0%,403882,539776,0,0,0,0
AZ,Mohave,0%,16267,29608,0,0,0,0
AZ,Navajo,0%,14224,16474,0,0,0,0
AZ,Pima,0%,154291,138431,0,0,0,0
AZ,Pinal,0%,25652,34813,0,0,0,0
AZ,Santa Cruz,0%,6909,4668,0,0,0,0
AZ,Yavapai,0%,30377,49675,0,0,0,0
AZ,Yuma,0%,12668,18398,0,0,0,0
